,breed,male_h,female_h,male_w,female_w,w_kid,in_out_door
1481,TERR-DASH-MIX,,,,,,
1482,LAB-AUSTRALIAN-SHEPHERD-MIX,,,,,,
1483,Chihuahua-Short-Coat,,,,,,
1484,SCHNOCKER,,,,,,
1485,Airedale,,,,,,
1486,COCKERPOO,,,,,,
1487,Silky-Terrier-Mix,,,,,,
1488,Maltese-Chihuahua-Mix,,,,,,
1489,Smooth-Hair-Fox-Terrier,,,,,,
1490,Shoorkie,,,,,,
1491,Shih-Tzu/Bichon-Mix,,,,,,
1492,Peke-A-Ppp,,,,,,
1493,Lhasa-Mix,,,,,,
1494,TERR-MIX,,,,,,
1495,Jack-Russell-Terrier-X,,,,,,
1496,ENG-SETTER,,,,,,
1497,Laasa-Apso-mix,,,,,,
1498,Husky/Labrador-Retriever,,,,,,
1499,bichon/shihtzu,,,,,,
1500,Chihuahua-mix,,,,,,
1501,AM-PIT-BULL-TERRIER-MIX,,,,,,
1502,PATTERDALE-TERRIER-MIX,,,,,,
1503,YORKSHIRE-TERR-X,,,,,,
1504,Dalmation/Terrier/Poodle,,,,,,
1505,BOSTON-TERR---X,,,,,,
1506,PODENAO-PORT,,,,,,
1507,Breed-?,,,,,,
1508,Sharpal---Rat-Terrier,,,,,,
1509,Cur,,,,,,
1510,Cock-a-poo,,,,,,
1511,BRITTANY,,,,,,
1512,Lab-mixed,,,,,,
1513,manchester-terrier,"[10, 12]","[10, 12]","[12, 22]","[12, 22]","Small children and non-canine pets that
were introduced while still young should be accepted. Respect should be shown to the petsâ€™ toys and food. ",
1514,pom-chi,,,,,,
1515,Maltese-/-Yorkie-Mix---Morkie,,,,,,
1516,SATO-X,,,,,,
1517,Beagle/Dachshund-Mix,,,,,,
1518,shepherd/terrier,,,,,,
1519,BRITTANY-SPAN,,,,,,
1520,SHEPHERD/ROTTIX,,,,,,
